This list contains all games supported by FB Alpha.

6006 games supported in total; X = excluded from build; D = included in debug build only; NW = not working

  name		  status  full name						  parent	  year	  company	  hardware	  remarks
+---------------+-------+-------------------------------------------------------+---------------+-------+---------------+---------------+---------------------------------------+
| 88games	|  	| '88 Games						| 		| 1988	| Konami	| GX861		| 					|
| elim2		|  	| Eliminator (2 Players, set 1)				| 		| 1981	| Gremlin	| G80 Vector	| 					|
| elim2a	|  	| Eliminator (2 Players, set 2)				| elim2		| 1981	| Gremlin	| G80 Vector	| 					|
| elim4		|  	| Eliminator (4 Players)				| elim2		| 1981	| Gremlin	| G80 Vector	| 					|
| elim4p	|  	| Eliminator (4 Players, prototype)			| elim2		| 1981	| Gremlin	| G80 Vector	| 					|
| empcity	|  	| Empire City: 1931 (bootleg?)				| 		| 1986	| Seibu Kaihatsu| Miscellaneous	| 					|
| empcityi	|  	| Empire City: 1931 (Italy)				| empcity	| 1986	| Seibu Kaihatsu| Miscellaneous	| 					|
| empcityj	|  	| Empire City: 1931 (Japan)				| empcity	| 1986	| Seibu Kaihatsu| Miscellaneous	| 					|
| empcityu	|  	| Empire City: 1931 (US)				| empcity	| 1986	| Seibu Kaihatsu| Miscellaneous	| 					|
| endurobl	|  	| Enduro Racer (bootleg set 1)				| enduror	| 1986	| bootleg	| Hang-On	| 					|
| endurora	|  	| Enduro Racer (YM2151) (mask ROM sprites, FD1089B 317-0| enduror	| 1986	| Sega		| Hang-On	| 					|
| endurord	|  	| Enduro Racer (YM2151, bootleg of FD1089B 317-0013A set| enduror	| 1986	| Sega		| Hang-On	| 					|
| enduror	|  	| Enduro Racer (YM2151, FD1089B 317-0013A)		| 		| 1986	| Sega		| Hang-On	| 					|
| enduror1d	|  	| Enduro Racer (YM2203, bootleg of FD1089B 317-0013A)	| enduror	| 1986	| Sega		| Hang-On	| 					|
| enduror1	|  	| Enduro Racer (YM2203, FD1089B 317-0013A)		| enduror	| 1986	| Sega		| Hang-On	| 					|
| enforcej	|  	| Enforce (Japan)					| enforce	| 1988	| Taito Corporat| Taito Z	| 					|
| enforceja	|  	| Enforce (Japan, Analog Controls)			| enforce	| 1988	| Taito Corporat| Taito Z	| 					|
| enforce	|  	| Enforce (World)					| 		| 1988	| Taito Corporat| Taito Z	| 					|
| enmadaio	| D	| Enma Daio (Japan)					| 		| 1993	| Toaplan / Tait| Toaplan GP9001| 					|
| eprom		|  	| Escape from the Planet of the Robot Monsters (set 1)	| 		| 1989	| Atari Games	| Miscellaneous	| 					|
| esckids	|  	| Escape Kids (Asia, 4 Players)				| 		| 1991	| Konami	| GX975		| 					|
| esckidsj	|  	| Escape Kids (Japan, 2 Players)			| esckids	| 1991	| Konami	| GX975		| 					|
| espradejo	|  	| ESP Ra.De. (Japan, ver. 98/04/14)			| esprade	| 1998	| Atlus / Cave	| Cave		| 					|
| espradej	|  	| ESP Ra.De. (Japan, ver. 98/04/21)			| esprade	| 1998	| Atlus / Cave	| Cave		| 					|
| esprade	|  	| ESP Ra.De. - A.D.2018 Tokyo (International, ver. 98/04| 		| 1998	| Atlus / Cave	| Cave		| 					|
| espgalbl	|  	| Espgaluda (2003/10/15 Master Ver, bootleg cartridge co| espgal	| 2003	| bootleg	| PolyGameMaster| 					|
| espgal	|  	| Espgaluda (V100, Japan)				| 		| 2003	| CAVE / AMI	| PolyGameMaster| 					|
| espial	|  	| Espial (Europe)					| 		| 1983	| Orca / Thunder| Miscellaneous	| 					|
| espialu	|  	| Espial (US?)						| espial	| 1983	| Orca / Thunder| Miscellaneous	| 					|
| euroch92	|  	| Euro Champ '92 (World)				| 		| 1992	| Taito Corporat| Taito F2	| 					|
| twcup90ba	|  	| Euro League (Italian hack of Tecmo World Cup '90 - alt| twcup90	| 1989	| bootleg	| Miscellaneous	| 					|
| twcup90b1	|  	| Euro League (Italian hack of Tecmo World Cup '90)	| twcup90	| 1989	| bootleg	| Miscellaneous	| 					|
| evilston	|  	| Evil Stone						| 		| 1990	| Spacy Industri| Taito L System| 					|
| excelsr	|  	| Excelsior (set 1)					| 		| 1996	| Playmark	| Misc		| 					|
| excelsra	|  	| Excelsior (set 2)					| excelsr	| 1996	| Playmark	| Misc		| 					|
| exctleagd	|  	| Excite League (FD1094 317-0079 decrypted)		| exctleag	| 1989	| Sega		| System 16B	| 					|
| exctleag	|  	| Excite League (FD1094 317-0079)			| 		| 1989	| Sega		| System 16B	| 					|
| excthour	|  	| Exciting Hour						| matmania	| 1985	| Technos Japan | Miscellaneous	| 					|
| exedexes	|  	| Exed Exes						| 		| 1985	| Capcom	| Miscellaneous	| 					|
| exerizerb	|  	| Exerizer (Japan) (bootleg)				| skyfox	| 1987	| Jaleco	| Miscellaneous	| 					|
| exodus	|  	| Exodus (bootleg?)					| redufo	| 19??	| Subelectro	| Galaxian	| 					|
| cexplore	|  	| Explorer (DECO Cassette) (US)				| 		| 1982	| Data East Corp| Cassette Syste| 					|
| explorer	|  	| Explorer						| scramble	| 1981	| bootleg	| Galaxian	| 					|
| explbrkrk	|  	| Explosive Breaker (Korea)				| explbrkr	| 1992	| Kaneko	| Kaneko16	| 					|
| explbrkr	|  	| Explosive Breaker (World)				| 		| 1992	| Kaneko	| Kaneko16	| 					|
| extrmatnj	|  	| Extermination (Japan)					| extrmatn	| 1987	| Taito Corporat| Miscellaneous	| 					|
| extrmatnur	|  	| Extermination (US, Romstar)				| extrmatn	| 1987	| Taito America | Miscellaneous	| 					|
| extrmatnu	|  	| Extermination (US, set 1)				| extrmatn	| 1987	| Taito (World G| Miscellaneous	| 					|
| extrmatn	|  	| Extermination (World)					| 		| 1987	| Taito Corporat| Miscellaneous	| 					|
| extdwnhl	|  	| Extreme Downhill (v1.5)				| 		| 1995	| Sammy Industri| Seta		| 					|
| exzisusa	|  	| Exzisus (Japan, conversion)				| exzisus	| 1987	| Taito Corporat| Miscellaneous	| 					|
| exzisus	|  	| Exzisus (Japan, dedicated)				| 		| 1987	| Taito Corporat| Miscellaneous	| 					|
| exzisust	|  	| Exzisus (TAD license)					| exzisus	| 1987	| Taito Corporat| Miscellaneous	| 					|
| eyesb		|  	| Eyes (bootleg set 1)					| eyes		| 1982	| bootleg	| Pac-man	| 					|
| eyeszacb	|  	| Eyes (bootleg set 2, decrypted)			| eyes		| 1982	| bootleg	| Pac-man	| 					|
| eyes		|  	| Eyes (Digitrex Techstar)				| 		| 1982	| Digitrex Techs| Pac-man	| 					|
| eyes2		|  	| Eyes (Techstar)					| eyes		| 1982	| Techstar (Rock| Pac-man	| 					|
| f1dreamb	|  	| F-1 Dream (bootleg, set 1)				| f1dream	| 1988	| bootleg	| Miscellaneous	| 					|
| f1dreamba	|  	| F-1 Dream (bootleg, set 2)				| f1dream	| 1988	| bootleg	| Miscellaneous	| 					|
| f1dream	|   NW	| F-1 Dream						| 		| 1988	| Capcom (Romsta| Miscellaneous	| Game is bugged, use the bootleg instea|
| f1gp		|  	| F-1 Grand Prix					| 		| 1991	| Video System C| Miscellaneous	| 					|
| f1gpb		| D NW	| F-1 Grand Prix (Playmark bootleg)			| f1gp		| 1991	| [Video System | Miscellaneous	| 					|
| f1gp2		|  	| F-1 Grand Prix Part II				| 		| 1992	| Video System C| Miscellaneous	| 					|
| fxa		|  	| F-X (alternate set)					| srdmissn	| 1986	| bootleg	| Kyugo		| 					|
| fx		|  	| F-X							| srdmissn	| 1986	| bootleg	| Kyugo		| 					|
| faceoff	|  	| Face Off (Japan 2 Players)				| 		| 1988	| Namco		| System 1	| 					|
| falcon	|  	| Falcon (bootleg of Phoenix) (8085A CPU)		| phoenix	| 1980	| bootleg (BGV L| Miscellaneous	| 					|
| falconz	|  	| Falcon (bootleg of Phoenix) (Z80 CPU)			| phoenix	| 1980	| bootleg	| Miscellaneous	| 					|
| fncywld	|  	| Fancy World - Earth of Crisis				| 		| 1996	| Unico		| Miscellaneous	| 					|
| fantasiaa	|  	| Fantasia (940307 PCB)					| fantasia	| 1994	| Comad / New Ja| Miscellaneous	| 					|
| fantasia	|  	| Fantasia (940429 PCB, set 1)				| 		| 1994	| Comad / New Ja| Miscellaneous	| 					|
| fantasiab	|  	| Fantasia (940429 PCB, set 2)				| fantasia	| 1994	| Comad / New Ja| Miscellaneous	| 					|
| fantasian	|  	| Fantasia (940803 PCB)					| fantasia	| 1994	| Comad / New Ja| Miscellaneous	| 					|
| fantsia2n	|  	| Fantasia II (1998)					| fantsia2	| 1998	| Comad		| Miscellaneous	| 					|
| fantsia2	|  	| Fantasia II (Explicit)				| 		| 1997	| Comad		| Miscellaneous	| 					|
| fantsia2a	|  	| Fantasia II (Less Explicit)				| fantsia2	| 1997	| Comad		| Miscellaneous	| 					|
| fantastc	|  	| Fantastic (Galaga conversion on Galaxian hardware)	| 		| 198?	| Taito do Brasi| Galaxian	| 					|
| fantsy95	|  	| Fantasy '95						| newfant	| 1995	| Hi-max Technol| Miscellaneous	| 					|
| fantasyg	|  	| Fantasy (Germany, set 1)				| fantasyu	| 1981	| SNK		| Miscellaneous	| 					|
| fantasyg2	|  	| Fantasy (Germany, set 2)				| fantasyu	| 1981	| SNK		| Miscellaneous	| 					|
| fantasyj	|  	| Fantasy (Japan)					| fantasyu	| 1981	| SNK		| Miscellaneous	| 					|
| fantasyu	|  	| Fantasy (US)						| 		| 1981	| SNK (Rock-Ola | Miscellaneous	| 					|
| fantland	|  	| Fantasy Land (set 1)					| 		| 19??	| Electronic Dev| Miscellaneous	| 					|
| fantlanda	|  	| Fantasy Land (set 2)					| fantland	| 19??	| Electronic Dev| Miscellaneous	| 					|
| fantzonep	|  	| Fantasy Zone (317-5000)				| fantzone	| 1986	| Sega		| System 16A	| 					|
| fantzonee	|  	| Fantasy Zone (FD1089B 317-0016)			| fantzone	| 1986	| Sega		| System 16A	| 					|
| fantzonepr	|  	| Fantasy Zone (prototype)				| fantzone	| 1986	| Sega		| System 16A	| 					|
| fantzone	|  	| Fantasy Zone (Rev A, unprotected)			| 		| 1986	| Sega		| System 16A	| 					|
| fantzoneta	|  	| Fantasy Zone (Time Attack, bootleg)			| fantzone	| 2008	| Sega		| System 16B	| 					|
| fantzone1	|  	| Fantasy Zone (unprotected)				| fantzone	| 1986	| Sega		| System 16A	| 					|
| fantzn2	|  	| Fantasy Zone II - The Tears of Opa-Opa (MC-8123, 317-0| 		| 1988	| Sega		| System E	| 					|
| fantzn2x	|  	| Fantasy Zone II - The Tears of Opa-Opa (System 16C)	| 		| 2008	| Sega / M2	| System 16C	| 					|
| fantzn2xp	|  	| Fantasy Zone II - The Tears of Opa-Opa (System 16C, pr| fantzn2x	| 2008	| Sega / M2	| System 16C	| 					|
| fantzn2xps2	|  	| Fantasy Zone II - The Tears of Opa-Opa (System 16C, PS| fantzn2x	| 2008	| Sega / M2	| System 16C	| 					|
| fantznta	|  	| Fantasy Zone Time Attack (System 16B, PS2 data file)	| fantzn2x	| 2008	| Sega		| System 16B	| 					|
| fantazia	|  	| Fantazia (bootleg?)					| mooncrst	| 1980	| SubElectro	| Galaxian	| 					|
| kabukikl	|  	| Far East of Eden - Kabuki Klash / Tengai Makyou - Shin| 		| 1995	| Hudson	| Neo Geo MVS	| 					|
| farwest	| D NW	| Far West						| ironhors	| 1986	| bootleg?	| GX560		| 					|
| farmer	|  	| Farmers Rebellion					| ikki		| 1985	| Sun Electronic| Miscellaneous	| 					|
| fastfred	|  	| Fast Freddie						| flyboy	| 1982	| Kaneko (Atari | Miscellaneous	| 					|
| fastlane	|  	| Fast Lane						| 		| 1987	| Konami	| GX752		| 					|
| sqbert	|  	| Faster, Harder, More Challenging Q*bert (prototype)	| 		| 1983	| Mylstar	| Miscellaneous	| 					|
| fatfury1	|  	| Fatal Fury - King of Fighters / Garou Densetsu - shuku| 		| 1992	| SNK		| Neo Geo MVS	| 					|
| fatfury2a	|  	| Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (| fatfury2	| 1992	| SNK		| Neo Geo MVS	| 					|
| fatfury2	|  	| Fatal Fury 2 / Garou Densetsu 2 - arata-naru tatakai (| 		| 1992	| SNK		| Neo Geo MVS	| 					|
| fatfury3	|  	| Fatal Fury 3 - Road to the Final Victory / Garou Dense| 		| 1995	| SNK		| Neo Geo MVS	| 					|
| fatfury3a	|  	| Fatal Fury 3 - Road to the Final Victory / Garou Dense| fatfury3	| 1995	| SNK		| Neo Geo MVS	| 					|
| fatfursp	|  	| Fatal Fury Special / Garou Densetsu Special (set 1)(NG| 		| 1993	| SNK		| Neo Geo MVS	| 					|
| fatfurspa	|  	| Fatal Fury Special / Garou Densetsu Special (set 2)(NG| fatfursp	| 1993	| SNK		| Neo Geo MVS	| 					|
| fenix		|   NW	| Fenix (bootleg of Phoenix)				| phoenix	| 1980	| bootleg	| Miscellaneous	| 					|
| feversos	|  	| Fever SOS (International, ver. 98/09/25)		| 		| 1998	| Cave / Nihon S| Cave		| 					|
| fightfev	|  	| Fight Fever (set 1)					| 		| 1994	| Viccom	| Neo Geo MVS	| 					|
| fightfeva	|  	| Fight Fever (set 2)					| fightfev	| 1994	| Viccom	| Neo Geo MVS	| 					|
| fghthistjb	|  	| Fighter's History (Japan ver 41-04, DE-0380-1 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthistja	|  	| Fighter's History (Japan ver 41-05, DE-0380-2 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthistj	|  	| Fighter's History (Japan ver 41-07, DE-0395-1 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthistuc	|  	| Fighter's History (US ver 42-03, DE-0380-2 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthistub	|  	| Fighter's History (US ver 42-05, DE-0395-1 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthistua	|  	| Fighter's History (US ver 42-06, DE-0395-1 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthistu	|  	| Fighter's History (US ver 42-09, DE-0396-0 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthistb	|  	| Fighter's History (World ver 43-05, DE-0380-2 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthista	|  	| Fighter's History (World ver 43-07, DE-0380-2 PCB)	| fghthist	| 1993	| Data East Corp| DECO 32	| 					|
| fghthist	|  	| Fighter's History (World ver 43-09, DE-0395-1 PCB)	| 		| 1993	| Data East Corp| DECO 32	| 					|
| fswords	|  	| Fighters Swords (Korean release of Samurai Shodown III| samsho3	| 1995	| SNK		| Neo Geo MVS	| 					|
| fghtbskt	|  	| Fighting Basketball					| 		| 1984	| Paradise Co. L| Irem M63	| 					|
| ffantasyj	|  	| Fighting Fantasy (Japan revision 2)			| hippodrm	| 1989	| Data East Corp| DEC0		| 					|
| ffantasy	|  	| Fighting Fantasy (Japan revision 3)			| hippodrm	| 1989	| Data East Corp| DEC0		| 					|
| ffantasyb	|  	| Fighting Fantasy (Japan revision ?)			| hippodrm	| 1989	| Data East Corp| DEC0		| 					|
| ffantasya	|  	| Fighting Fantasy (Japan)				| hippodrm	| 1989	| Data East Corp| DEC0		| 					|
| fitegolfu	|  	| Fighting Golf (US)					| fitegolf	| 1988	| SNK		| Miscellaneous	| 					|
| fitegolf2	|  	| Fighting Golf (US, Ver 2)				| fitegolf	| 1988	| SNK		| Miscellaneous	| 					|
| fitegolf	|  	| Fighting Golf (World?)				| 		| 1988	| SNK		| Miscellaneous	| 					|
| fhawkj	|  	| Fighting Hawk (Japan)					| fhawk		| 1988	| Taito Corporat| Taito L System| 					|
| fhawk		|  	| Fighting Hawk (World)					| 		| 1988	| Taito Corporat| Taito L System| 					|
| cfghtice	|  	| Fighting Ice Hockey (DECO Cassette) (US)		| 		| 1984	| Data East Corp| Cassette Syste| 					|
| fightrol	|  	| Fighting Roller					| 		| 1983	| Kaneko (Taito | Miscellaneous	| 					|
| fsoccerj	|   NW	| Fighting Soccer (Japan)				| fsoccer	| 1988	| SNK		| Miscellaneous	| 					|
| fsoccerb	|  	| Fighting Soccer (Joystick hack bootleg)		| fsoccer	| 1988	| bootleg	| Miscellaneous	| 					|
| fsoccerba	|  	| Fighting Soccer (Joystick hack bootleg, alt)		| fsoccer	| 1988	| bootleg	| Miscellaneous	| 					|
| fsoccer	|   NW	| Fighting Soccer (version 4)				| 		| 1988	| SNK		| Miscellaneous	| 					|
| finalbj	|  	| Final Blow (Japan)					| finalb	| 1988	| Taito Corporat| Taito F2	| 					|
| finalbu	|  	| Final Blow (US)					| finalb	| 1988	| Taito America | Taito F2	| 					|
| finalb	|  	| Final Blow (World)					| 		| 1988	| Taito Corporat| Taito F2	| 					|
| fcrash	|  	| Final Crash (bootleg (with 2xYM2203 + 2xMSM5205))	| ffight	| 1990	| Playmark	| CPS1		| 					|
| ffightj1	|  	| Final Fight (900112 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightua	|  	| Final Fight (900112 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightj2	|  	| Final Fight (900305 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightj3	|  	| Final Fight (900405 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightub	|  	| Final Fight (900424 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightj4	|  	| Final Fight (900613 Japan)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightuc	|  	| Final Fight (900613 USA)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightbl	|  	| Final Fight (bootleg set 1 (with 2xYM2203 + 2xMSM5205)| ffight	| 1990	| bootleg	| CPS1		| 					|
| ffightbla	|  	| Final Fight (bootleg set 2 (with 2xYM2203 + 2xMSM5205)| ffight	| 1990	| bootleg	| CPS1		| 					|
| ffightj	|  	| Final Fight (Japan)					| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightu	|  	| Final Fight (USA, set 1)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightu1	|  	| Final Fight (USA, set 2)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffightu2	|  	| Final Fight (USA, set 3)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| ffight	|  	| Final Fight (World, set 1)				| 		| 1989	| Capcom	| CPS1		| 					|
| ffighta	|  	| Final Fight (World, set 2)				| ffight	| 1989	| Capcom	| CPS1		| 					|
| finallapjb	| D NW	| Final Lap (Japan, Rev B)				| finallap	| 1987	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finallapjc	| D NW	| Final Lap (Japan, Rev C)				| finallap	| 1987	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finallapc	| D NW	| Final Lap (Rev C)					| finallap	| 1987	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finallapd	| D NW	| Final Lap (Rev D)					| finallap	| 1987	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finallap	| D NW	| Final Lap (Rev E)					| 		| 1987	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finalap2j	| D NW	| Final Lap 2 (Japan)					| finalap2	| 1990	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finalap2	| D NW	| Final Lap 2						| 		| 1990	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finalap3bl	| D NW	| Final Lap 3 (bootleg)					| finalap3	| 1992	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finalap3jc	| D NW	| Final Lap 3 (Japan - Rev C)				| finalap3	| 1992	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finalap3j	| D NW	| Final Lap 3 (Japan)					| finalap3	| 1992	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finalap3	| D NW	| Final Lap 3 (World, set 1)				| 		| 1992	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| finalap3a	| D NW	| Final Lap 3 (World, set 2)				| finalap3	| 1992	| Namco		| System 2	| Imperfect graphics, sound and inputs	|
| fstarfrcj	|  	| Final Star Force (Japan)				| fstarfrc	| 1992	| Tecmo		| Miscellaneous	| 					|
| fstarfrc	|  	| Final Star Force (US)					| 		| 1992	| Tecmo		| Miscellaneous	| 					|
| finalttr	|  	| Final Tetris						| 		| 1993	| Jeil Computer | Kaneko Pandora| 					|
| finalizr	|  	| Finalizer - Super Transformation			| 		| 1985	| Konami	| GX523		| 					|
| finalizrb	|  	| Finalizer - Super Transformation (bootleg)		| finalizr	| 1985	| bootleg	| GX523		| 					|
| finehour	|  	| Finest Hour (Japan)					| 		| 1989	| Namco		| System 2	| 					|
| fball		|  	| Fire Ball (FM Work)					| 		| 1992	| FM Work	| Miscellaneous	| Black Bar on the left side is normal.	|
| firebarr	|  	| Fire Barrel (Japan)					| airass	| 1993	| Irem		| Irem M107	| 					|
| firebatl	|  	| Fire Battle						| 		| 1984	| Wood Place Inc| Miscellaneous	| 					|
| firehawk	|  	| Fire Hawk (horizontal)				| spec2k	| 2001	| ESD		| NMK16		| 					|
| fireshrk	|  	| Fire Shark						| 		| 1990	| Toaplan	| Toaplan BCU-2 | 					|
| fireshrka	|  	| Fire Shark (earlier)					| fireshrk	| 1989	| Toaplan	| Toaplan BCU-2 | 					|
| fireshrkd	|  	| Fire Shark (Korea, set 1, easier)			| fireshrk	| 1990	| Toaplan (Dooyo| Toaplan BCU-2 | 					|
| fireshrkdh	|  	| Fire Shark (Korea, set 2, harder)			| fireshrk	| 1990	| Toaplan (Dooyo| Toaplan BCU-2 | 					|
| firetrapbl	|  	| Fire Trap (Japan bootleg)				| firetrap	| 1986	| bootleg	| Miscellaneous	| 					|
| firetrapj	|  	| Fire Trap (Japan)					| firetrap	| 1986	| Wood Place Inc| Miscellaneous	| 					|
| firetrap	|  	| Fire Trap (US, set 1)					| 		| 1986	| Wood Place Inc| Miscellaneous	| 					|
| firetrapa	|  	| Fire Trap (US, set 2)					| firetrap	| 1986	| Wood Place Inc| Miscellaneous	| 					|
| firebeas	|  	| Firebeast (prototype)					| 		| 1983	| Atari		| Miscellaneous	| 					|
| cfishing	|  	| Fishing (DECO Cassette) (Japan)			| cadanglr	| 1982	| Data East Corp| Cassette Syste| 					|
| fitter	|  	| Fitter						| roundup	| 1981	| Taito Corporat| Miscellaneous	| 					|
| fitterbl	|  	| Fitter (bootleg of Round-Up)				| roundup	| 1981	| bootleg	| Miscellaneous	| 					|
| fixeight	|  	| FixEight (Europe)					| 		| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightt	|  	| FixEight (Europe, Taito license)			| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeighth	|  	| FixEight (Hong Kong)					| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightht	|  	| FixEight (Hong Kong, Taito license)			| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightj	|  	| FixEight (Japan)					| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightjt	|  	| FixEight (Japan, Taito license)			| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightk	|  	| FixEight (Korea)					| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightkt	|  	| FixEight (Korea, Taito license)			| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeighta	|  	| FixEight (Southeast Asia)				| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightat	|  	| FixEight (Southeast Asia, Taito license)		| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeighttw	|  	| FixEight (Taiwan)					| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeighttwt	|  	| FixEight (Taiwan, Taito license)			| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightu	|  	| FixEight (USA)					| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| fixeightut	|  	| FixEight (USA, Taito license)				| fixeight	| 1992	| Toaplan	| Toaplan GP9001| 					|
| flkatck	|  	| Flak Attack (Japan)					| mx5000	| 1987	| Konami	| GX669		| 					|
| flkatcka	|  	| Flak Attack (Japan, PWB 450593 sub-board)		| mx5000	| 1987	| Konami	| GX669		| 					|
| cfboy0a1	|  	| Flash Boy (vertical) [DECO Cassette MD] (No.12/Ver.0/S| 		| 1981	| Data East Corp| Cassette Syste| 					|
| fpointbj	|  	| Flash Point (Japan, bootleg)				| fpoint	| 1989	| bootleg	| System 16B	| 					|
| fpoint1d	|  	| Flash Point (set 1, Japan, FD1094 317-0127A decrypted)| fpoint	| 1989	| Sega		| System 16B	| 					|
| fpoint1	|  	| Flash Point (set 1, Japan, FD1094 317-0127A)		| fpoint	| 1989	| Sega		| System 16B	| 					|
| fpointd	|  	| Flash Point (set 2, Japan, FD1094 317-0127A decrypted)| fpoint	| 1989	| Sega		| System 16B	| 					|
| fpoint	|  	| Flash Point (set 2, Japan, FD1094 317-0127A)		| 		| 1989	| Sega		| System 16B	| 					|
| fpointbl	|  	| Flash Point (World, bootleg)				| fpoint	| 1989	| bootleg	| System 16B	| 					|
| flashgal	|  	| Flashgal (set 1)					| 		| 1985	| Sega		| Kyugo		| 					|
| flashgalk	|  	| Flashgal (set 1, Kyugo logo)				| flashgal	| 1985	| Sega		| Kyugo		| 					|
| flashgala	|  	| Flashgal (set 2)					| flashgal	| 1985	| Sega		| Kyugo		| 					|
| flicky	|  	| Flicky (128k Version, 315-5051)			| 		| 1984	| Sega		| System 1	| 					|
| flickya	|  	| Flicky (128k Version, 315-5051, larger roms))		| flicky	| 1984	| Sega		| System 1	| 					|
| flickys2	|  	| Flicky (128k Version, not encrypted)			| flicky	| 1984	| Sega		| System 1	| 					|
| flickyg	|  	| Flicky (128k Version, System 2, 315-5051, alt graphics| flicky	| 1984	| Sega		| System 1	| 					|
| flickys2g	|  	| Flicky (128k Version, System 2, not encrypted, alt gra| flicky	| 1984	| Sega		| System 1	| 					|
| flickyo	|  	| Flicky (64k Version, 315-5051, set 1)			| flicky	| 1984	| Sega		| System 1	| 					|
| flickys1	|  	| Flicky (64k Version, 315-5051, set 2)			| flicky	| 1984	| Sega		| System 1	| 					|
| flickyup	|  	| Flicky (64k Version, on Up'n Down boardset)		| flicky	| 1984	| Sega		| System 1	| 					|
| flipjack	|  	| Flipper Jack						| 		| 1983	| Jackson Co., L| Miscellaneous	| 					|
| flipull	|  	| Flipull (Japan)					| plotting	| 1989	| Taito Corporat| Taito L System| 					|
| flowerj	|  	| Flower (Japan)					| flower	| 1986	| Clarue (Sega /| Miscellaneous	| 					|
| flower	|  	| Flower (US)						| 		| 1986	| Clarue (Komax | Miscellaneous	| 					|
| flyboy	|  	| Fly-Boy						| 		| 1982	| Kaneko	| Miscellaneous	| 					|
| flyboyb	|  	| Fly-Boy (bootleg)					| flyboy	| 1982	| bootleg	| Miscellaneous	| 					|
| fnshark	|  	| Flyin' Shark (bootleg of Hishou Zame)			| fshark	| 1987	| bootleg	| Miscellaneous	| 					|
| cflyball	|  	| Flying Ball (DECO Cassette) (US)			| 		| 1985	| Data East Corp| Cassette Syste| 					|
| fsharkbt	|  	| Flying Shark (bootleg with 8741)			| fshark	| 1987	| bootleg	| Miscellaneous	| 					|
| fshark	|  	| Flying Shark (World)					| 		| 1987	| Toaplan / Tait| Miscellaneous	| 					|
| flytiger	|  	| Flying Tiger (set 1)					| 		| 1992	| Dooyong	| Miscellaneous	| 					|
| flytigera	|  	| Flying Tiger (set 2)					| flytiger	| 1992	| Dooyong	| Miscellaneous	| 					|
| foodfc	|  	| Food Fight (cocktail)					| foodf		| 1982	| General Comput| Miscellaneous	| 					|
| foodf1	|  	| Food Fight (rev 1)					| foodf		| 1982	| General Comput| Miscellaneous	| 					|
